index,key,question,answer,vid_id,gif_name,description
57,XZ9C0-8684,Did they have it on their back the first thing they held before taking the object they were on the side of last from somewhere?,yes,XZ9C0,XZ9C0,none
58,GWQ73-1079,What did they go in front of after holding some food?,doorknob,GWQ73,GWQ73,none
59,XJH5D-12244,"While throwing the thing they took somewhere, did they touch the first thing they put down?",no,XJH5D,XJH5D,none
60,XXDHJ-2004,"After fixing a doorknob, which object did the person interact with?",door,XXDHJ,XXDHJ,none
61,JI3ZF-8819,"After grasping onto a doorknob, did they touch a blanket or a door?",door,JI3ZF,JI3ZF,none
62,OJ6SX-5390,"After opening a door, were they touching a bed but not the object they were beneath?",yes,OJ6SX,OJ6SX,none
63,V54TI-37872,Which object did the person go above while taking the thing they snuggled from somewhere?,bed,V54TI,V54TI,none
64,S1W8H-7655,"Before closing the first thing they held, what was the person putting down?",food,S1W8H,S1W8H,none
65,JCWVV-43901,"After putting the last thing they went on the side of somewhere, which was the person touching, a table or a paper?",table,JCWVV,JCWVV,none
66,75AX5-10885,Were they touching both a bag and the first thing they put down after running somewhere?,yes,75AX5,75AX5,none
67,UGMJZ-5306,What did they watch before throwing the thing they went in front of somewhere?,paper,UGMJZ,UGMJZ,none
68,ZVCMM-2864,Which object were they closing before holding a dish but after eating some food?,closet,ZVCMM,ZVCMM,none
69,S1XW9-14378,Which object did the person lie on between taking a book from somewhere and closing a door?,chair,S1XW9,S1XW9,none
70,VOX2S-1992,Which object were they holding after closing a refrigerator?,food,VOX2S,VOX2S,none
71,XS6PF-32375,Was the person watching television before or after putting the thing they took somewhere?,after,XS6PF,XS6PF,none
72,X9WTR-14442,Were they touching both a table and the object they were putting down between watching television and going from standing to sitting?,no,X9WTR,X9WTR,none
73,B9F4P-16,Is there a mirror the person interacts with after grasping onto a doorknob?,yes,B9F4P,B9F4P,none
74,6TJVS-11992,"After drinking from a cup, what did they go in front of?",chair,6TJVS,6TJVS,none
75,U3T5A-2613,Did they hold something while opening a refrigerator?,yes,U3T5A,U3T5A,none
76,SX07Q-8166,What did they open before holding the last thing they went on the side of?,box,SX07Q,SX07Q,none
77,YFBA1-4117,What did they go behind before lying on the object they were above?,paper,YFBA1,YFBA1,none
78,0OUEP-8179,"In the video, what was the person grasping?",dish,0OUEP,0OUEP,none
79,VDXXV-41264,What was the person in front of before holding some clothes but after lying on a bed?,closet,VDXXV,VDXXV,none
80,B71ZJ-6583,"While doing the longest action, what did they wear?",shoe,B71ZJ,B71ZJ,none
81,DRT60-5850,"While smiling at something, what did they carry?",phone,DRT60,DRT60,none
82,RTEWJ-11501,What did the person start doing first after taking the last thing they held from somewhere?,holding a blanket,RTEWJ,RTEWJ,none
83,OUBUX-29824,"While putting the first thing they held somewhere, did they touch a bag but not the last thing they put down?",yes,OUBUX,OUBUX,none
84,V9XR6-21636,"Which were they behind after sitting in a chair, a table or the object they were touching last?",dish,V9XR6,V9XR6,none
85,YC3OE-82389,"After taking the last thing they went on the side of from somewhere, what was the person tidying?",clothes,YC3OE,YC3OE,none
86,VSYFA-18664,"Before taking the thing they ate from somewhere, which did they go behind, a doorway or the object they were sitting on last?",clothes,VSYFA,VSYFA,none
87,2ZBL5-6399,Were they interacting with a dish before or after holding the object they were playing on?,before,2ZBL5,2ZBL5,none
88,XF93D-8719,"Which were they touching while sitting in a chair, a doorway or a closet?",doorway,XF93D,XF93D,none
89,FC2TJ-1278,"While tidying something on the floor, which object did the person take?",vacuum,FC2TJ,FC2TJ,none
90,Z70KK-14154,"In the video, did they put down a bag but not the object they were taking last?",yes,Z70KK,Z70KK,none
91,54VBR-9254,"Which did they go on the side of while walking through a doorway, some food or the last thing they leaned on?",chair,54VBR,54VBR,none
92,8NW4J-226741,"After lying on the object they were sitting on, was a pillow or the last thing they touched the thing they threw?",clothes,8NW4J,8NW4J,none
93,8WQOP-6326,"After grasping onto a doorknob, what did they carry?",box,8WQOP,8WQOP,none
94,3YVPG-114682,Did they lie on something before or after they stood up?,after,3YVPG,3YVPG,none
95,A58GR-9176,"After putting the thing they went in front of somewhere, what did they interact with?",box,A58GR,A58GR,none
96,SP6M4-10836,Was the first thing they held the last thing they were in front of?,no,SP6M4,SP6M4,none
97,4O9A6-5200,"In the video, of all the things the person was behind, was the first a light?",no,4O9A6,4O9A6,none
98,8RSZ4-6525,"Before putting the object they were behind last somewhere, which object were they leaning on?",window,8RSZ4,8RSZ4,none
99,0ZC7L-6873,What did they stand on before playing with the object they were holding last?,floor,0ZC7L,0ZC7L,none
100,H8BTR-26225,"Before drinking from a cup but after taking a blanket from somewhere, what did they watch?",television,H8BTR,H8BTR,none
101,GFVSV-34420,Which object were they opening after pouring something into a cup?,paper,GFVSV,GFVSV,none
102,G54NU-23079,"While throwing the object they were putting down somewhere, of everything the person held, was the first the last thing they went on the side of?",no,G54NU,G54NU,none
103,FIZXP-9059,"Before starting to put a blanket somewhere, which object were they wiping?",dish,FIZXP,FIZXP,none
104,XECIL-99652,"After opening the thing they closed, which object were they above?",food,XECIL,XECIL,none
105,CTCO8-669,"After taking some clothes from somewhere, did they carry a laptop?",no,CTCO8,CTCO8,none
106,W6QUC-1825,Did the person hold both a blanket and the thing they tidied?,yes,W6QUC,W6QUC,none
107,7WIKW-38421,"In the video, did they go on the side of a dish or a box?",box,7WIKW,7WIKW,none
108,TWU2U-2111,"After putting a bag somewhere, what was the person behind?",food,TWU2U,TWU2U,none
109,PV3KQ-8926,"After taking food from somewhere, which was the person on the side of, a blanket or a table?",table,PV3KQ,PV3KQ,none
110,ENDIE-10196,"Between walking through a doorway and holding a cup of something, which object were they on the side of?",bag,ENDIE,ENDIE,none
111,K2LY1-1667,Which object were they above before walking through a doorway?,bed,K2LY1,K2LY1,none
112,63WHZ-4165,"Before starting to tidy up a table, were they holding the object they were holding first but not the object they were watching?",yes,63WHZ,63WHZ,none
113,WP8D0-15164,Did the person interact with the object they were in before or after they put something on a table?,before,WP8D0,WP8D0,none
114,CXF35-48155,What did they watch before putting the object they were holding first somewhere?,laptop,CXF35,CXF35,none
115,20WZU-9727,Which object did the person watch while putting the first thing they went behind somewhere?,paper,20WZU,20WZU,none
116,Y4PAD-6953,"Before walking through a doorway, which object were they in front of?",chair,Y4PAD,Y4PAD,none
117,DPJH4-2376,Which object did the person touch before holding some food but after walking through a doorway?,closet,DPJH4,DPJH4,none
118,1ZAN8-16641,Was the person walking through a doorway before or after washing the object they were wiping?,after,1ZAN8,1ZAN8,none
119,JCWVV-45316,Did the person interact with a table before or after taking the object they were putting down last from somewhere?,after,JCWVV,JCWVV,none
120,SYUNE-7260,Did they undress something before or after they took a cup from somewhere?,after,SYUNE,SYUNE,none
121,TW12W-32364,"Before putting the first thing they took somewhere, what was the person watching?",television,TW12W,TW12W,none
122,61WIS-19554,"After taking a pillow from somewhere, which object did the person touch?",laptop,61WIS,61WIS,none
123,QGLQ0-7455,"While holding a box, were they on the side of a door first?",yes,QGLQ0,QGLQ0,none
124,Y05U8-21949,Did the person interact with the thing they opened before or after putting clothes somewhere?,before,Y05U8,Y05U8,none
125,1MD1H-324678,Were they on the side of a blanket or some clothes after lying on the last thing they went on the side of?,blanket,1MD1H,1MD1H,none
126,VKXLL-8014,"Before standing up but after taking a dish from somewhere, did they put down the last thing they held?",yes,VKXLL,VKXLL,none
127,243Y9-40712,"After putting the thing they dressed somewhere, which object were they leaning on?",chair,243Y9,243Y9,none
128,FAZXS-4145,"Before holding a paper, was a table or a picture the thing they went on the side of?",table,FAZXS,FAZXS,none
129,QLKSV-32339,"While holding the object they were eating first, which object were they above?",chair,QLKSV,QLKSV,none
130,F650A-6227,Which object were they tidying while throwing the thing they put down somewhere?,floor,F650A,F650A,none
131,NC1OC-28788,"In the video, which was the person on the side of first, a paper or a bed?",paper,NC1OC,NC1OC,none
132,1MD1H-158134,Which object were they holding between throwing a blanket somewhere and taking a bag from somewhere?,shoe,1MD1H,1MD1H,none
133,561H5-9580,"After putting the thing they got covered by somewhere, which object did the person watch?",television,561H5,561H5,none
134,UGF6Q-23306,"Before taking the thing they got covered by from somewhere, what was the person holding?",paper,UGF6Q,UGF6Q,none
135,2U0QT-4913,Which object were they grasping before closing the thing they went above?,dish,2U0QT,2U0QT,none
136,61XR6-39628,Did they go behind the first thing they went on the side of last between holding a blanket and standing up?,yes,61XR6,61XR6,none
137,D2VU8-241212,"After working at a table, did they put down a paper but not the object they were watching first?",yes,D2VU8,D2VU8,none
138,ATWCT-4037,What was the person opening after dressing themselves?,door,ATWCT,ATWCT,none
139,8Z5SJ-3034,What was the person closing before holding some clothes?,window,8Z5SJ,8Z5SJ,none
140,H9U38-2010,"After closing the thing they carried, did they sit on a table?",yes,H9U38,H9U38,none
141,F1QR1-36419,"Between holding a blanket and walking through a doorway, which did they go on the side of, a bed or the object they were throwing last?",bed,F1QR1,F1QR1,none
142,NBAGZ-6900,Which object were they touching after throwing a blanket somewhere?,dish,NBAGZ,NBAGZ,none
143,7Z69Y-8886,Was the person dressing something after doing the action they did the longest?,yes,7Z69Y,7Z69Y,none
144,N2GFQ-34893,"Which did they put down before starting to lie on a bed, some clothes or the last thing they held?",bag,N2GFQ,N2GFQ,none
145,4Y1AW-3751,Did they hold some food for longer than they spent holding a phone?,no,4Y1AW,4Y1AW,none
146,JTXUA-40144,"After sitting in the object they were in front of, what did they fix?",light,JTXUA,JTXUA,none
147,74DPG-28980,What was the person putting down while holding the last thing they went behind?,dish,74DPG,74DPG,none
148,XCUOD-33212,"Which did they go on the side of while holding the object they were eating, a table or a bag?",table,XCUOD,XCUOD,none
149,8BSG7-7221,"In the video, was a laptop or the object they were on the side of last the thing they held?",door,8BSG7,8BSG7,none
150,0BNML-11242,"Which did they go on the side of while sitting in the first thing they went in front of, a paper or the object they were holding last?",paper,0BNML,0BNML,none
151,61XR6-35334,What did they go above before turning on a light but after taking a blanket from somewhere?,clothes,61XR6,61XR6,none
152,D1VWG-17130,"While closing the thing they opened, what did they hold?",dish,D1VWG,D1VWG,none
153,NO0WS-36309,Which object did the person take first between holding some food and holding a broom?,box,NO0WS,NO0WS,none
154,XZ9C0-6017,"While standing up, what did they hold?",bag,XZ9C0,XZ9C0,none
155,VA7IT-14637,"Before starting to take a dish from somewhere, which object were they snuggling?",blanket,VA7IT,VA7IT,none
156,I6NJ6-91424,"While throwing the thing they put down somewhere, was a pillow or the object they were in last the thing they went in front of?",pillow,I6NJ6,I6NJ6,none
157,FPODN-9184,"While going from standing to sitting, what did they go behind?",table,FPODN,FPODN,none
158,LI6LV-9266,Which object were they eating between undressing themselves and watching something in a mirror?,medicine,LI6LV,LI6LV,none
159,BSDSA-5287,"Before starting to sit in a chair, which object were they watching?",mirror,BSDSA,BSDSA,none
160,T2XVO-41425,"Of all the things the person was behind while washing something with the object they were on the side of last, was the first a dish?",no,T2XVO,T2XVO,none
161,1Q4P9-1975,Was holding a book something they spent a shorter amount of time doing than they spent holding a blanket?,yes,1Q4P9,1Q4P9,none
162,JXS3A-3212,"While taking a picture of something, which object did the person lean on?",chair,JXS3A,JXS3A,none
163,JGYF6-6424,"Of all the things the person was on the side of while taking the object they were putting down from somewhere, was the last a table?",no,JGYF6,JGYF6,none
164,15FVJ-47899,"While holding the object they were taking first, what did they put down?",pillow,15FVJ,15FVJ,none
165,DZNYK-16820,Which object were they putting down?,box,DZNYK,DZNYK,none
166,4U52R-41261,"Of all the items they went on the side of, was the first one a blanket or a bed?",blanket,4U52R,4U52R,none
167,57J92-2134,Which object did the person tidy before taking the thing they ate from somewhere?,floor,57J92,57J92,none
168,YX3W8-12954,What did they lie on after holding a blanket?,floor,YX3W8,YX3W8,none
169,J3ZQS-23351,"Before starting to take paper from somewhere, what did they sit on?",bed,J3ZQS,J3ZQS,none
170,S1XW9-14738,"After sitting in a chair, which did they go in front of, a paper or a door?",door,S1XW9,S1XW9,none
171,CA5OI-10850,"In the video, of everything the person washed, was the last the first thing they took?",no,CA5OI,CA5OI,none
172,R6CIX-890,What was the person fixing?,door,R6CIX,R6CIX,none
173,WH1PD-8200,Which object did the person watch while holding the thing they played on?,mirror,WH1PD,WH1PD,none
174,RO8N5-4300,"Which were they on the side of before holding some food, a chair or a dish?",dish,RO8N5,RO8N5,none
175,01K8X-627,Does someone interact with a box?,no,01K8X,01K8X,none
176,JIS2Q-2500,Were they interacting with a doorknob before or after they held a bag?,after,JIS2Q,JIS2Q,none
177,X084M-2017,Did the person interact with a light before or after they grasped onto a doorknob?,before,X084M,X084M,none
178,7NW4V-1158,Did they touch a laptop?,no,7NW4V,7NW4V,none
179,KLO0K-37,Does someone interact with a pillow between smiling at something and throwing something on the floor?,no,KLO0K,KLO0K,none
180,UAIHK-55397,Did the person interact with the first thing they held before or after snuggling with a blanket?,after,UAIHK,UAIHK,none
181,UPWM5-1589,Did they go on the side of a broom first?,yes,UPWM5,UPWM5,none
182,UPUPM-5353,"While holding a phone, of everything the person lay on, was the first the floor?",no,UPUPM,UPUPM,none
183,1H6PS-639,"In the video, which object were they behind?",food,1H6PS,1H6PS,none
184,JEDTE-15968,Which object did the person tidy between taking a pillow from somewhere and holding a dish?,floor,JEDTE,JEDTE,none
185,HOZ76-5715,Was a table or a doorway the thing they went on the side of while sitting in the object they were on the side of last?,doorway,HOZ76,HOZ76,none
186,CZY4Q-19453,"After putting the object they were above first somewhere, which did they go on the side of, some food or the object they were in front of last?",dish,CZY4Q,CZY4Q,none
187,T0HLX-16584,Was the person putting down a dish but not a shoe after opening the first thing they went in front of?,no,T0HLX,T0HLX,none
188,5DRVF-12605,"While putting a dish somewhere, which object were they sitting on?",bed,5DRVF,5DRVF,none
189,4VCHD-25140,"In the video, did they touch a door or a bag last?",bag,4VCHD,4VCHD,none
190,X2LBW-190493,Did they touch a paper but not a mirror before standing up but after putting clothes somewhere?,yes,X2LBW,X2LBW,none
191,S67HC-1168,What did they go above after taking the thing they went on the side of from somewhere?,chair,S67HC,S67HC,none
192,BRJ0H-2758,Did the person interact with a dish before or after taking food from somewhere?,after,BRJ0H,BRJ0H,none
193,YNRI0-4559,"Before closing a door but after drinking from a cup, which object did the person go above?",chair,YNRI0,YNRI0,none
194,X8DZV-96817,"After holding a cup of something, did they go in front of a table or the object they were putting down last?",pillow,X8DZV,X8DZV,none
195,KTL2G-3443,"After putting a broom somewhere, what did they stand on?",floor,KTL2G,KTL2G,none
196,7ICIA-4134,Did the person interact with a door before or after putting a phone somewhere?,before,7ICIA,7ICIA,none
197,IPNEG-3086,"Before starting to make some food, which object were they putting down?",dish,IPNEG,IPNEG,none
198,29LL7-8591,"Before taking the object they were putting down from somewhere, which object did the person hold?",shoe,29LL7,29LL7,none
199,16V9S-6224,What was the person in front of while putting something on a table?,broom,16V9S,16V9S,none
200,TD6CM-20292,"Before snuggling with the thing they carried, which object were they undressing?",clothes,TD6CM,TD6CM,none
201,S2XJW-27641,"Of all the things the person was in front of between opening a bag and putting some food somewhere, was the first a bed?",yes,S2XJW,S2XJW,none
202,WQSYC-3668,"While holding a cup of something, what did they lean on?",bed,WQSYC,WQSYC,none
203,LTC5Y-15767,"Before sitting at a table, which object were they putting down?",box,LTC5Y,LTC5Y,none
204,8XC4G-907,"In the video, did they interact with a doorknob?",no,8XC4G,8XC4G,none
205,M40WF-11640,"Between playing with a phone and standing up, were they sitting on a bed but not a blanket?",yes,M40WF,M40WF,none
206,BZWSJ-1837,"After holding a cup of something, what did they go behind?",broom,BZWSJ,BZWSJ,none
207,GD1LA-10137,What did they go in while taking the last thing they went behind from somewhere?,blanket,GD1LA,GD1LA,none
208,D9EDE-3672,"Which did they go on the side of after putting something on a table, a table or the object they were touching last?",food,D9EDE,D9EDE,none
209,OHLSE-58585,Which object did the person tidy after opening the last thing they took?,table,OHLSE,OHLSE,none
210,7SAFU-4359,"Before starting to hold some clothes, what did they lie on?",bed,7SAFU,7SAFU,none
211,8030U-3374,"Before putting the first thing they went behind somewhere, what was the person watching?",mirror,8030U,8030U,none
212,U1OYB-3846,Did they hold the first thing they held but not the thing they went on the side of before taking shoes from somewhere but after going from standing to sitting?,yes,U1OYB,U1OYB,none
213,4LU0G-14076,What was the person in front of between putting a dish somewhere and working on a book?,bed,4LU0G,4LU0G,none
214,U2SJH-64702,"Before putting some food somewhere but after going from standing to sitting, was a table or a bag the thing they touched?",bag,U2SJH,U2SJH,none
215,WXUZK-26167,"After holding the first thing they went in, what was the person behind?",bed,WXUZK,WXUZK,none
216,MOKPE-4658,"Which did they go on the side of first, a box or some medicine?",medicine,MOKPE,MOKPE,none
217,7WJUW-20000,"Before throwing a blanket somewhere but after going from standing to sitting, which object were they above?",bed,7WJUW,7WJUW,none
218,RVZ7X-1715,"Before smiling at something, which object did the person undress?",clothes,RVZ7X,RVZ7X,none
219,X95MU-2258,What was the person holding between putting on a shoe and sitting in a chair?,phone,X95MU,X95MU,none
220,VNQES-6491,"Before starting to put a box somewhere, what was the person above?",chair,VNQES,VNQES,none
221,BGX4T-622,"While walking through a doorway, which object did the person close?",door,BGX4T,BGX4T,none
222,11DD3-17198,"Between closing a window and watching a picture, which object were they tidying?",table,11DD3,11DD3,none
223,HU409-4285,"Before putting a pillow somewhere, what was the person standing on?",floor,HU409,HU409,none
224,7L18C-19037,Which object did the person hold while walking through a doorway?,phone,7L18C,7L18C,none
225,5XAMJ-7102,What was the person sitting on before smiling at something?,chair,5XAMJ,5XAMJ,none
226,FTQRE-943,What was the person putting down before starting to hold a broom?,paper,FTQRE,FTQRE,none
227,K0C0A-10765,What was the person leaning on while taking food from somewhere?,chair,K0C0A,K0C0A,none
228,STDCJ-1912,What did they hold before taking food from somewhere?,closet,STDCJ,STDCJ,none
229,XS6PF-24573,"Between taking some clothes from somewhere and watching television, what did they grasp?",doorknob,XS6PF,XS6PF,none
230,19MUM-11058,"After watching something in the object they were behind first, did they close the thing they opened?",yes,19MUM,19MUM,none
231,WRFZW-6760,Did they work on something?,yes,WRFZW,WRFZW,none
232,9T0AC-9317,"Between holding a blanket and consuming some medicine, what was the person above?",bed,9T0AC,9T0AC,none
233,FM078-21441,"While opening a closet, was a bag or the object they were beneath last the thing they went behind?",food,FM078,FM078,none
234,OZ5SV-12636,What did they hold before watching outside of a window?,paper,OZ5SV,OZ5SV,none
235,64F1C-4295,"After putting clothes somewhere, did they tidy a closet but not a blanket?",yes,64F1C,64F1C,none
236,Z9THH-3744,"Before putting the thing they washed somewhere, what was the person taking?",bag,Z9THH,Z9THH,none
237,FUT86-48581,What was the person sitting on before eating some food but after holding a phone?,chair,FUT86,FUT86,none
238,7L0TN-3963,Did they watch something while holding the last thing they went on the side of?,yes,7L0TN,7L0TN,none
239,1J3I0-3019,Which object were they on the side of last?,bed,1J3I0,1J3I0,none
240,OOEME-5603,Which object did the person sit on before holding the first thing they went in front of?,bed,OOEME,OOEME,none
241,AGSN7-15489,"Before opening the object they were on the side of last, what was the person in front of?",doorway,AGSN7,AGSN7,none
242,C9FMC-13210,Were they on the side of a refrigerator or a dish after holding the object they were taking?,dish,C9FMC,C9FMC,none
243,DTJS6-1261,Was the person putting down the object they were touching first?,yes,DTJS6,DTJS6,none
244,TW12W-4054,Did they carry some clothes before throwing shoes somewhere?,no,TW12W,TW12W,none
245,OVYAC-2982,"After standing up, which object were they putting down?",clothes,OVYAC,OVYAC,none
246,MZJ9D-5261,What did they lean on while putting the thing they held somewhere?,bed,MZJ9D,MZJ9D,none
247,IQ0ZX-21274,Were they putting down a pillow or a dish?,pillow,IQ0ZX,IQ0ZX,none
248,JQG43-7465,"While standing up, was a chair or the last thing they went behind the thing they went on the side of?",chair,JQG43,JQG43,none
249,80E3X-18868,Which object were they opening while sitting in the object they were awakening?,bag,80E3X,80E3X,none
250,8NS1G-12834,What did they go beneath before holding the thing they went in front of?,blanket,8NS1G,8NS1G,none
251,2LCLG-10484,"After putting a bag somewhere, which object were they holding?",paper,2LCLG,2LCLG,none
252,RXLKF-93242,Which object did the person close while holding the object they were carrying?,paper,RXLKF,RXLKF,none
253,HHCFO-44628,"Which did they open last, a bag or a door?",door,HHCFO,HHCFO,none
254,VPBIO-29692,"While putting some food somewhere, which object were they opening?",bag,VPBIO,VPBIO,none
255,RXRAS-5237,Which object were they watching before putting a dish somewhere?,television,RXRAS,RXRAS,none
256,P3XT7-28874,"While tidying up the object they were in, which object did the person take?",dish,P3XT7,P3XT7,none
257,4SN6Z-6403,Was interacting with the object they were behind first something they did before or after they sat in a chair?,after,4SN6Z,4SN6Z,none
258,TZL6H-1072,Was the person wiping the thing they washed before starting to hold some clothes?,no,TZL6H,TZL6H,none
259,EQO9N-3294,Which object did the person wear?,clothes,EQO9N,EQO9N,none
260,4MUXJ-4386,"While putting some food somewhere, were they opening the object they were behind last first?",no,4MUXJ,4MUXJ,none
261,23Y3I-4784,"After throwing the thing they went on the side of somewhere, what did they touch?",door,23Y3I,23Y3I,none
262,UL9LN-1955,Did the person interact with the thing they opened before or after holding some clothes?,before,UL9LN,UL9LN,none
263,AXZVQ-8512,"Before taking the thing they went beneath from somewhere, did they go on the side of a chair or a table?",table,AXZVQ,AXZVQ,none
264,SVEWD-8849,"Before walking through a doorway but after working at a table, did they touch both a chair and the object they were taking?",yes,SVEWD,SVEWD,none
265,DWHPO-15894,Did they go on the side of a bag last before taking a phone from somewhere?,no,DWHPO,DWHPO,none
266,62VEF-669,"After eating some food, which object did the person interact with?",dish,62VEF,62VEF,none
267,41SB2-3645,"Before holding a broom but after fixing a light, which object did the person close?",closet,41SB2,41SB2,none
268,L2ZZB-84306,"Of all the items they went behind, was the last one some clothes or a phone?",phone,L2ZZB,L2ZZB,none
269,GLS7U-6153,"Before holding some medicine, which did they go on the side of, a table or some food?",table,GLS7U,GLS7U,none
270,LBG7L-47054,"After taking the object they were watching from somewhere, did they go on the side of a paper or a chair?",chair,LBG7L,LBG7L,none
